2026-07-30 22:16:05 | INFO     | root | Logging initialized. Level=INFO, File=logs\nids.log
2026-07-30 22:16:05 | INFO     | test | This is a test log message
2026-07-30 22:16:05 | WARNING  | test | This is a test warning
2026-08-05 22:01:14 | INFO     | root | Logging initialized. Level=INFO, File=logs\nids.log
2026-08-05 22:01:14 | INFO     | src.capture.sniffer | Starting packet capture on interface: Wi-Fi
2026-08-05 22:01:15 | INFO     | src.dashboard.dashboard | Dashboard started (refresh interval: 3s)
2026-08-05 22:07:32 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 16 unique ports in 10s (threshold: 15)
2026-08-05 22:07:32 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 16 unique ports in 10s (threshold: 15)
2026-08-05 22:07:32 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 16 unique ports in 10s (threshold: 15)
2026-08-05 22:07:32 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 16 unique ports in 10s (threshold: 15)
2026-08-05 22:07:32 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 16 unique ports in 10s (threshold: 15)
2026-08-05 22:07:32 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 16 unique ports in 10s (threshold: 15)
2026-08-05 22:07:32 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 16 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 17 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 18 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 18 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 18 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 18 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 18 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 19 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 20 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 20 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 20 unique ports in 10s (threshold: 15)
2026-08-05 22:07:33 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 21 unique ports in 10s (threshold: 15)
2026-08-05 22:07:34 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 21 unique ports in 10s (threshold: 15)
2026-08-05 22:07:34 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 21 unique ports in 10s (threshold: 15)
2026-08-05 22:07:34 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 22 unique ports in 10s (threshold: 15)
2026-08-05 22:07:34 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 22 unique ports in 10s (threshold: 15)
2026-08-05 22:07:34 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 22 unique ports in 10s (threshold: 15)
2026-08-05 22:07:34 | INFO     | src.detector.detection_engine | ALERT [PORT_SCAN/HIGH] 10.33.70.252 contacted 23 unique ports in 10s (threshold: 15)
